DAYS_OUT,AGE,GAMES_PLAYED,GAMES_STARTED,MINUTES_PLAYED,HEIGHT,WEIGHT,POSITION,MPG,injuries_last_3,avg_days_out_last_3
11,25.0,67,21.0,1754,78,225.0,Guard-Forward,26.17910447761194,2,1.5
9,28.0,38,0.0,418,78,225.0,Guard-Forward,11.0,1,11.0
16,29.0,33,0.0,271,78,225.0,Guard-Forward,8.212121212121213,2,4.5
12,30.0,72,25.0,1055,78,225.0,Guard-Forward,14.652777777777779,7,3.5714285714285716
9,31.0,47,33.0,1030,78,225.0,Guard-Forward,21.914893617021278,10,3.7
28,22.0,62,2.0,1267,84,263.0,Center,20.43548387096774,0,0.0
17,25.0,68,68.0,1863,84,263.0,Center,27.397058823529413,1,28.0
7,26.0,79,70.0,1879,84,263.0,Center,23.78481012658228,1,17.0
2,27.0,77,49.0,1740,84,263.0,Center,22.5974025974026,2,12.0
154,29.0,6,5.0,175,84,263.0,Center,29.166666666666668,2,4.5
5,31.0,72,8.0,1331,84,263.0,Center,18.48611111111111,1,154.0
6,32.0,54,54.0,1146,84,263.0,Center,21.22222222222222,4,39.75
29,25.0,59,0.0,1095,79,210.0,Guard,18.559322033898304,0,0.0
9,26.0,41,36.0,1341,79,210.0,Guard,32.707317073170735,1,29.0
14,27.0,37,30.0,1181,79,210.0,Guard,31.91891891891892,4,9.5
36,32.0,59,53.0,1801,79,210.0,Guard,30.52542372881356,0,0.0
10,35.0,75,28.0,1631,79,210.0,Guard,21.746666666666666,1,36.0
37,36.0,31,1.0,554,79,210.0,Guard,17.870967741935484,2,5.0
19,37.0,56,1.0,857,79,210.0,Guard,15.303571428571429,5,9.4
104,28.0,25,0.0,391,73,185.0,Guard,15.64,0,0.0
1,29.0,72,2.0,1332,73,185.0,Guard,18.5,2,52.0
14,30.0,40,6.0,806,73,185.0,Guard,20.15,3,35.0
167,32.0,6,0.0,30,73,185.0,Guard,5.0,2,7.5
29,33.0,20,0.0,89,73,185.0,Guard,4.45,3,60.333333333333336
87,26.0,16,0.0,54,82,250.0,Forward-Center,3.375,0,0.0
9,23.0,39,38.0,1186,70,166.0,Guard,30.41025641025641,0,0.0
16,24.0,65,46.0,1754,70,166.0,Guard,26.984615384615385,1,9.0
150,25.0,6,0.0,93,70,166.0,Guard,15.5,2,12.5
10,27.0,55,4.0,928,70,166.0,Guard,16.87272727272727,10,16.6
6,30.0,69,67.0,2351,70,166.0,Guard,34.072463768115945,1,10.0
73,31.0,45,25.0,1273,70,166.0,Guard,28.288888888888888,3,2.0
14,33.0,74,0.0,938,70,166.0,Guard,12.675675675675675,11,7.181818181818182
25,22.0,6,0.0,15,78,190.0,Forward-Guard,2.5,0,0.0
129,24.0,15,0.0,126,80,240.0,Forward,8.4,0,0.0
91,25.0,8,0.0,43,80,240.0,Forward,5.375,3,43.0
35,26.0,5,0.0,15,80,240.0,Forward,3.0,5,44.0
32,28.0,58,16.0,1433,80,240.0,Forward,24.70689655172414,3,42.0
61,29.0,36,0.0,402,80,240.0,Forward,11.166666666666666,2,33.5
33,30.0,28,1.0,315,80,240.0,Forward,11.25,3,31.0
47,31.0,37,1.0,440,80,240.0,Forward,11.891891891891891,7,18.0
23,32.0,64,4.0,909,80,240.0,Forward,14.203125,13,10.846153846153847
26,33.0,29,0.0,268,80,240.0,Forward,9.241379310344827,17,6.0588235294117645
1,34.0,56,4.0,618,80,240.0,Forward,11.035714285714286,18,5.333333333333333
93,23.0,35,2.0,440,81,250.0,Center-Forward,12.571428571428571,0,0.0
10,24.0,72,0.0,1086,81,250.0,Center-Forward,15.083333333333334,3,31.0
20,26.0,65,24.0,1018,81,250.0,Center-Forward,15.661538461538461,4,25.75
24,27.0,6,2.0,70,81,250.0,Center-Forward,11.666666666666666,3,10.0
4,29.0,15,0.0,44,81,250.0,Center-Forward,2.933333333333333,5,8.8
45,30.0,40,0.0,447,81,250.0,Center-Forward,11.175,4,7.0
12,31.0,16,0.0,121,81,250.0,Center-Forward,7.5625,5,9.8
83,23.0,14,0.0,57,80,220.0,Forward,4.071428571428571,0,0.0
108,25.0,24,15.0,610,81,254.0,Forward-Center,25.416666666666668,0,0.0
37,26.0,61,49.0,1921,81,254.0,Forward-Center,31.491803278688526,1,108.0
33,28.0,63,14.0,1322,81,254.0,Forward-Center,20.984126984126984,2,72.5
19,30.0,72,72.0,2256,81,254.0,Forward-Center,31.333333333333332,2,16.5
29,33.0,69,8.0,1136,81,254.0,Forward-Center,16.463768115942027,1,19.0
104,34.0,21,2.0,248,81,254.0,Forward-Center,11.80952380952381,1,29.0
2,31.0,41,2.0,416,73,173.0,Guard,10.146341463414634,0,0.0
94,24.0,28,0.0,290,81,235.0,Forward,10.357142857142858,0,0.0
21,27.0,54,14.0,1167,81,235.0,Forward,21.61111111111111,1,94.0
10,29.0,54,17.0,1027,81,235.0,Forward,19.01851851851852,1,21.0
75,30.0,48,9.0,512,81,235.0,Forward,10.666666666666666,3,10.333333333333334
27,31.0,39,8.0,504,81,235.0,Forward,12.923076923076923,8,10.625
